"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|IT-North","BZN|FR","2160.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|GB(IFA)","BZN|FR","1500.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|BE","BZN|FR","1100.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|CH","BZN|FR","1300.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|ES","BZN|FR","800.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|IT-North","1668.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|GB(IFA)","1500.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|BE","2200.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|CH","3200.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|ES","2750.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|GB","2514.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|GB(ElecLink)","0.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|FR","BZN|GB(IFA2)","1014.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|GB","BZN|FR","2514.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|GB(ElecLink)","BZN|FR","0.0"
"01/01/2025 - 01/01/2026","Monday 30/12/2024","BZN|GB(IFA2)","BZN|FR","1014.0"
"01/01/2025 - 01/01/2026","Tuesday 31/12/2024","BZN|DE-AT-LU","BZN|FR","n/e"
