"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|IT-North","BZN|FR","1160.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|DE-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|BE","BZN|FR","1600.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|ES","BZN|FR","2300.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|DE-AT-LU","1800.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|IT-North","43.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|DE-LU","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|BE","2300.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|CH","3000.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|ES","2800.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Monday 01/01/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|DE-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|BE","BZN|FR","1600.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|ES","BZN|FR","2300.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|DE-AT-LU","1800.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|IT-North","1494.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|DE-LU","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|BE","2300.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|CH","3000.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|ES","2800.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Tuesday 02/01/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|DE-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|BE","BZN|FR","1600.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|ES","BZN|FR","2300.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|DE-AT-LU","1800.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|IT-North","2337.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|DE-LU","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|BE","2300.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|CH","3000.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|ES","2800.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Wednesday 03/01/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|DE-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|BE","BZN|FR","1600.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|ES","BZN|FR","2300.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|DE-AT-LU","1800.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|IT-North","2782.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|DE-LU","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|BE","2300.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|CH","3000.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|ES","2800.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|FR","BZN|GB(IFA2)","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|GB","BZN|FR","2000.0"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Thursday 04/01/2018","BZN|GB(IFA2)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|DE-AT-LU","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|IT-North","BZN|FR","995.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|DE-LU","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|GB(IFA)","BZN|FR","n/e"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|BE","BZN|FR","1600.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|CH","BZN|FR","1200.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|ES","BZN|FR","2300.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|DE-AT-LU","1800.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|IT-North","2407.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|DE-LU","n/e"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|GB(IFA)","n/e"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|BE","2300.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|CH","3000.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|ES","2800.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|GB","2000.0"
"01/01/2018 - 01/01/2019","Friday 05/01/2018","BZN|FR","BZN|GB(ElecLink)","n/e"
