year,partner,utilization,avg_spread,congestion_rent,avg_price,spread_norm,rent_norm,structural_congestion_index
2021,Belgium,,,,,,,
2021,Germany,,,,,,,
2021,Great Britain,,,,,,,
2021,Italy-North,0.4833209476707833,19.575917256007582,295645285.475,117.18589611872146,0.16705011357488916,0.1666613086988136,0.013456037270923458
2021,Spain,0.3783739206654588,22.28145373802043,64755470.94020001,110.55269406392695,0.20154600416283125,0.03650398657621863,0.0027837849556314005
2021,Switzerland,0.28110133580662977,14.351527700175518,104209991.70820001,112.05541038812785,0.12807527678017452,0.058745308823974995,0.0021149563266336545
2022,Belgium,,,,,,,
2022,Germany,,,,,,,
2022,Great Britain,,,,,,,
2022,Italy-North,0.4191287669585449,38.663927694666576,528571094.46,291.8451860730594,0.13248095065370583,0.29796636263464776,0.016545052325135208
2022,Spain,0.36396934423354743,117.66904003996453,-1773928740.7690003,221.70017066210048,0.5307575528180682,1.0,0.1931794784461947
2022,Switzerland,0.26855083613015374,30.3731560729532,62923478.51314999,278.7659252283105,0.10895577014327507,0.03547125488584879,0.0010378947059174423
2023,Belgium,,,,,,,
2023,Germany,,,,,,,
2023,Great Britain,,,,,,,
2023,Italy-North,0.52037572144103,32.214186049274105,572922796.365,112.31761529680365,0.2868133014055442,0.322968326290625,0.04820324187738814
2023,Spain,0.35427639485736195,30.4320744095061,-134350271.7438,91.97715068493152,0.3308655919745918,0.07573600261167143,0.008877612840830287
2023,Switzerland,0.35582024850217053,20.285110759940373,195927913.2093,102.16161700913241,0.19855902200654332,0.1104485815616049,0.007803338140501768
2024,Belgium,,,,,,,
2024,Germany,,,,,,,
2024,Great Britain,,,,,,,
2024,Italy-North,0.3742828901145907,44.1780160794618,665160169.1288,82.61948059360729,0.5347167007351059,0.37496442435475297,0.07504362211101158
2024,Spain,0.3537268667666631,25.883193663930154,118522203.04189998,60.5294233834244,0.4276134186835506,0.0668133957796526,0.010106084322782576
2024,Switzerland,0.4303375688415789,26.257723414355524,329044360.06689996,66.98710951730419,0.3919817350466898,0.18548905178922734,0.0312891218150524
