"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|ES","Without Sequence","6.74","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|ES","Without Sequence","4.74","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|ES","Without Sequence","3.66","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|ES","Without Sequence","2.06","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|ES","Without Sequence","2.06","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|ES","Without Sequence","2.06","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|ES","Without Sequence","2.30","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|ES","Without Sequence","5.00","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|ES","Without Sequence","5.00","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|ES","Without Sequence","5.00","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|ES","Without Sequence","8.85","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|ES","Without Sequence","15.93","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|ES","Without Sequence","22.02","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|ES","Without Sequence","20.00","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|ES","Without Sequence","21.95","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|ES","Without Sequence","23.52","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|ES","Without Sequence","16.35","",""
