"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2015 00:00:00 - 05/01/2015 01:00:00","BZN|IT-North","Without Sequence","47.72","",""
"05/01/2015 01:00:00 - 05/01/2015 02:00:00","BZN|IT-North","Without Sequence","39.10","",""
"05/01/2015 02:00:00 - 05/01/2015 03:00:00","BZN|IT-North","Without Sequence","35.21","",""
"05/01/2015 03:00:00 - 05/01/2015 04:00:00","BZN|IT-North","Without Sequence","32.43","",""
"05/01/2015 04:00:00 - 05/01/2015 05:00:00","BZN|IT-North","Without Sequence","33.15","",""
"05/01/2015 05:00:00 - 05/01/2015 06:00:00","BZN|IT-North","Without Sequence","38.85","",""
"05/01/2015 06:00:00 - 05/01/2015 07:00:00","BZN|IT-North","Without Sequence","48.89","",""
"05/01/2015 07:00:00 - 05/01/2015 08:00:00","BZN|IT-North","Without Sequence","60.03","",""
"05/01/2015 08:00:00 - 05/01/2015 09:00:00","BZN|IT-North","Without Sequence","63.98","",""
"05/01/2015 09:00:00 - 05/01/2015 10:00:00","BZN|IT-North","Without Sequence","64.50","",""
"05/01/2015 10:00:00 - 05/01/2015 11:00:00","BZN|IT-North","Without Sequence","55.49","",""
"05/01/2015 11:00:00 - 05/01/2015 12:00:00","BZN|IT-North","Without Sequence","53.50","",""
"05/01/2015 12:00:00 - 05/01/2015 13:00:00","BZN|IT-North","Without Sequence","51.00","",""
"05/01/2015 13:00:00 - 05/01/2015 14:00:00","BZN|IT-North","Without Sequence","50.39","",""
"05/01/2015 14:00:00 - 05/01/2015 15:00:00","BZN|IT-North","Without Sequence","54.45","",""
"05/01/2015 15:00:00 - 05/01/2015 16:00:00","BZN|IT-North","Without Sequence","64.00","",""
"05/01/2015 16:00:00 - 05/01/2015 17:00:00","BZN|IT-North","Without Sequence","64.25","",""
"05/01/2015 17:00:00 - 05/01/2015 18:00:00","BZN|IT-North","Without Sequence","68.64","",""
"05/01/2015 18:00:00 - 05/01/2015 19:00:00","BZN|IT-North","Without Sequence","67.00","",""
"05/01/2015 19:00:00 - 05/01/2015 20:00:00","BZN|IT-North","Without Sequence","61.50","",""
"05/01/2015 20:00:00 - 05/01/2015 21:00:00","BZN|IT-North","Without Sequence","55.95","",""
"05/01/2015 21:00:00 - 05/01/2015 22:00:00","BZN|IT-North","Without Sequence","50.26","",""
"05/01/2015 22:00:00 - 05/01/2015 23:00:00","BZN|IT-North","Without Sequence","50.53","",""
"05/01/2015 23:00:00 - 06/01/2015 00:00:00","BZN|IT-North","Without Sequence","51.00","",""
"06/01/2015 00:00:00 - 06/01/2015 01:00:00","BZN|IT-North","Without Sequence","49.78","",""
"06/01/2015 01:00:00 - 06/01/2015 02:00:00","BZN|IT-North","Without Sequence","45.21","",""
"06/01/2015 02:00:00 - 06/01/2015 03:00:00","BZN|IT-North","Without Sequence","38.80","",""
"06/01/2015 03:00:00 - 06/01/2015 04:00:00","BZN|IT-North","Without Sequence","35.00","",""
"06/01/2015 04:00:00 - 06/01/2015 05:00:00","BZN|IT-North","Without Sequence","33.43","",""
"06/01/2015 05:00:00 - 06/01/2015 06:00:00","BZN|IT-North","Without Sequence","37.58","",""
"06/01/2015 06:00:00 - 06/01/2015 07:00:00","BZN|IT-North","Without Sequence","43.50","",""
"06/01/2015 07:00:00 - 06/01/2015 08:00:00","BZN|IT-North","Without Sequence","52.00","",""
"06/01/2015 08:00:00 - 06/01/2015 09:00:00","BZN|IT-North","Without Sequence","52.00","",""
"06/01/2015 09:00:00 - 06/01/2015 10:00:00","BZN|IT-North","Without Sequence","51.04","",""
"06/01/2015 10:00:00 - 06/01/2015 11:00:00","BZN|IT-North","Without Sequence","50.28","",""
"06/01/2015 11:00:00 - 06/01/2015 12:00:00","BZN|IT-North","Without Sequence","49.10","",""
"06/01/2015 12:00:00 - 06/01/2015 13:00:00","BZN|IT-North","Without Sequence","47.97","",""
"06/01/2015 13:00:00 - 06/01/2015 14:00:00","BZN|IT-North","Without Sequence","45.11","",""
"06/01/2015 14:00:00 - 06/01/2015 15:00:00","BZN|IT-North","Without Sequence","45.44","",""
"06/01/2015 15:00:00 - 06/01/2015 16:00:00","BZN|IT-North","Without Sequence","52.49","",""
"06/01/2015 16:00:00 - 06/01/2015 17:00:00","BZN|IT-North","Without Sequence","57.89","",""
"06/01/2015 17:00:00 - 06/01/2015 18:00:00","BZN|IT-North","Without Sequence","63.98","",""
"06/01/2015 18:00:00 - 06/01/2015 19:00:00","BZN|IT-North","Without Sequence","61.10","",""
"06/01/2015 19:00:00 - 06/01/2015 20:00:00","BZN|IT-North","Without Sequence","59.17","",""
"06/01/2015 20:00:00 - 06/01/2015 21:00:00","BZN|IT-North","Without Sequence","55.00","",""
"06/01/2015 21:00:00 - 06/01/2015 22:00:00","BZN|IT-North","Without Sequence","50.00","",""
"06/01/2015 22:00:00 - 06/01/2015 23:00:00","BZN|IT-North","Without Sequence","50.27","",""
"06/01/2015 23:00:00 - 07/01/2015 00:00:00","BZN|IT-North","Without Sequence","49.10","",""
"07/01/2015 00:00:00 - 07/01/2015 01:00:00","BZN|IT-North","Without Sequence","49.92","",""
"07/01/2015 01:00:00 - 07/01/2015 02:00:00","BZN|IT-North","Without Sequence","45.50","",""
"07/01/2015 02:00:00 - 07/01/2015 03:00:00","BZN|IT-North","Without Sequence","45.00","",""
"07/01/2015 03:00:00 - 07/01/2015 04:00:00","BZN|IT-North","Without Sequence","41.85","",""
"07/01/2015 04:00:00 - 07/01/2015 05:00:00","BZN|IT-North","Without Sequence","41.85","",""
"07/01/2015 05:00:00 - 07/01/2015 06:00:00","BZN|IT-North","Without Sequence","44.32","",""
"07/01/2015 06:00:00 - 07/01/2015 07:00:00","BZN|IT-North","Without Sequence","51.96","",""
"07/01/2015 07:00:00 - 07/01/2015 08:00:00","BZN|IT-North","Without Sequence","57.33","",""
"07/01/2015 08:00:00 - 07/01/2015 09:00:00","BZN|IT-North","Without Sequence","69.69","",""
"07/01/2015 09:00:00 - 07/01/2015 10:00:00","BZN|IT-North","Without Sequence","70.95","",""
"07/01/2015 10:00:00 - 07/01/2015 11:00:00","BZN|IT-North","Without Sequence","66.40","",""
"07/01/2015 11:00:00 - 07/01/2015 12:00:00","BZN|IT-North","Without Sequence","63.98","",""
"07/01/2015 12:00:00 - 07/01/2015 13:00:00","BZN|IT-North","Without Sequence","54.99","",""
"07/01/2015 13:00:00 - 07/01/2015 14:00:00","BZN|IT-North","Without Sequence","52.62","",""
"07/01/2015 14:00:00 - 07/01/2015 15:00:00","BZN|IT-North","Without Sequence","64.34","",""
"07/01/2015 15:00:00 - 07/01/2015 16:00:00","BZN|IT-North","Without Sequence","65.00","",""
"07/01/2015 16:00:00 - 07/01/2015 17:00:00","BZN|IT-North","Without Sequence","65.02","",""
"07/01/2015 17:00:00 - 07/01/2015 18:00:00","BZN|IT-North","Without Sequence","65.21","",""
"07/01/2015 18:00:00 - 07/01/2015 19:00:00","BZN|IT-North","Without Sequence","63.00","",""
"07/01/2015 19:00:00 - 07/01/2015 20:00:00","BZN|IT-North","Without Sequence","58.23","",""
"07/01/2015 20:00:00 - 07/01/2015 21:00:00","BZN|IT-North","Without Sequence","52.10","",""
