"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2017 00:00:00 - 01/01/2017 01:00:00","BZN|IT-North","Without Sequence","53.00","",""
"01/01/2017 01:00:00 - 01/01/2017 02:00:00","BZN|IT-North","Without Sequence","52.00","",""
"01/01/2017 02:00:00 - 01/01/2017 03:00:00","BZN|IT-North","Without Sequence","51.00","",""
"01/01/2017 03:00:00 - 01/01/2017 04:00:00","BZN|IT-North","Without Sequence","47.27","",""
"01/01/2017 04:00:00 - 01/01/2017 05:00:00","BZN|IT-North","Without Sequence","45.49","",""
"01/01/2017 05:00:00 - 01/01/2017 06:00:00","BZN|IT-North","Without Sequence","45.69","",""
"01/01/2017 06:00:00 - 01/01/2017 07:00:00","BZN|IT-North","Without Sequence","48.07","",""
"01/01/2017 07:00:00 - 01/01/2017 08:00:00","BZN|IT-North","Without Sequence","45.67","",""
"01/01/2017 08:00:00 - 01/01/2017 09:00:00","BZN|IT-North","Without Sequence","45.48","",""
"01/01/2017 09:00:00 - 01/01/2017 10:00:00","BZN|IT-North","Without Sequence","42.06","",""
"01/01/2017 10:00:00 - 01/01/2017 11:00:00","BZN|IT-North","Without Sequence","46.86","",""
"01/01/2017 11:00:00 - 01/01/2017 12:00:00","BZN|IT-North","Without Sequence","48.02","",""
"01/01/2017 12:00:00 - 01/01/2017 13:00:00","BZN|IT-North","Without Sequence","49.57","",""
"01/01/2017 13:00:00 - 01/01/2017 14:00:00","BZN|IT-North","Without Sequence","48.69","",""
"01/01/2017 14:00:00 - 01/01/2017 15:00:00","BZN|IT-North","Without Sequence","46.91","",""
"01/01/2017 15:00:00 - 01/01/2017 16:00:00","BZN|IT-North","Without Sequence","49.43","",""
"01/01/2017 16:00:00 - 01/01/2017 17:00:00","BZN|IT-North","Without Sequence","50.45","",""
"01/01/2017 17:00:00 - 01/01/2017 18:00:00","BZN|IT-North","Without Sequence","53.30","",""
"01/01/2017 18:00:00 - 01/01/2017 19:00:00","BZN|IT-North","Without Sequence","59.07","",""
"01/01/2017 19:00:00 - 01/01/2017 20:00:00","BZN|IT-North","Without Sequence","61.71","",""
"01/01/2017 20:00:00 - 01/01/2017 21:00:00","BZN|IT-North","Without Sequence","56.26","",""
"01/01/2017 21:00:00 - 01/01/2017 22:00:00","BZN|IT-North","Without Sequence","55.00","",""
"01/01/2017 22:00:00 - 01/01/2017 23:00:00","BZN|IT-North","Without Sequence","54.00","",""
"01/01/2017 23:00:00 - 02/01/2017 00:00:00","BZN|IT-North","Without Sequence","52.00","",""
"02/01/2017 00:00:00 - 02/01/2017 01:00:00","BZN|IT-North","Without Sequence","53.00","",""
"02/01/2017 01:00:00 - 02/01/2017 02:00:00","BZN|IT-North","Without Sequence","50.18","",""
"02/01/2017 02:00:00 - 02/01/2017 03:00:00","BZN|IT-North","Without Sequence","49.11","",""
"02/01/2017 03:00:00 - 02/01/2017 04:00:00","BZN|IT-North","Without Sequence","48.15","",""
"02/01/2017 04:00:00 - 02/01/2017 05:00:00","BZN|IT-North","Without Sequence","48.41","",""
"02/01/2017 05:00:00 - 02/01/2017 06:00:00","BZN|IT-North","Without Sequence","48.15","",""
"02/01/2017 06:00:00 - 02/01/2017 07:00:00","BZN|IT-North","Without Sequence","52.00","",""
"02/01/2017 07:00:00 - 02/01/2017 08:00:00","BZN|IT-North","Without Sequence","59.07","",""
"02/01/2017 08:00:00 - 02/01/2017 09:00:00","BZN|IT-North","Without Sequence","64.15","",""
"02/01/2017 09:00:00 - 02/01/2017 10:00:00","BZN|IT-North","Without Sequence","62.50","",""
"02/01/2017 10:00:00 - 02/01/2017 11:00:00","BZN|IT-North","Without Sequence","61.70","",""
"02/01/2017 11:00:00 - 02/01/2017 12:00:00","BZN|IT-North","Without Sequence","61.20","",""
"02/01/2017 12:00:00 - 02/01/2017 13:00:00","BZN|IT-North","Without Sequence","55.69","",""
"02/01/2017 13:00:00 - 02/01/2017 14:00:00","BZN|IT-North","Without Sequence","55.67","",""
"02/01/2017 14:00:00 - 02/01/2017 15:00:00","BZN|IT-North","Without Sequence","61.19","",""
"02/01/2017 15:00:00 - 02/01/2017 16:00:00","BZN|IT-North","Without Sequence","59.71","",""
"02/01/2017 16:00:00 - 02/01/2017 17:00:00","BZN|IT-North","Without Sequence","60.96","",""
"02/01/2017 17:00:00 - 02/01/2017 18:00:00","BZN|IT-North","Without Sequence","73.55","",""
"02/01/2017 18:00:00 - 02/01/2017 19:00:00","BZN|IT-North","Without Sequence","77.42","",""
"02/01/2017 19:00:00 - 02/01/2017 20:00:00","BZN|IT-North","Without Sequence","75.00","",""
"02/01/2017 20:00:00 - 02/01/2017 21:00:00","BZN|IT-North","Without Sequence","70.11","",""
"02/01/2017 21:00:00 - 02/01/2017 22:00:00","BZN|IT-North","Without Sequence","59.69","",""
"02/01/2017 22:00:00 - 02/01/2017 23:00:00","BZN|IT-North","Without Sequence","54.00","",""
"02/01/2017 23:00:00 - 03/01/2017 00:00:00","BZN|IT-North","Without Sequence","52.00","",""
"03/01/2017 00:00:00 - 03/01/2017 01:00:00","BZN|IT-North","Without Sequence","50.56","",""
"03/01/2017 01:00:00 - 03/01/2017 02:00:00","BZN|IT-North","Without Sequence","47.09","",""
"03/01/2017 02:00:00 - 03/01/2017 03:00:00","BZN|IT-North","Without Sequence","44.43","",""
"03/01/2017 03:00:00 - 03/01/2017 04:00:00","BZN|IT-North","Without Sequence","45.00","",""
"03/01/2017 04:00:00 - 03/01/2017 05:00:00","BZN|IT-North","Without Sequence","45.18","",""
"03/01/2017 05:00:00 - 03/01/2017 06:00:00","BZN|IT-North","Without Sequence","46.74","",""
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|IT-North","Without Sequence","55.00","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|IT-North","Without Sequence","59.73","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|IT-North","Without Sequence","61.81","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|IT-North","Without Sequence","61.81","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|IT-North","Without Sequence","61.94","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|IT-North","Without Sequence","63.80","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|IT-North","Without Sequence","57.49","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|IT-North","Without Sequence","56.74","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|IT-North","Without Sequence","60.00","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|IT-North","Without Sequence","64.01","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|IT-North","Without Sequence","68.94","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|IT-North","Without Sequence","67.01","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|IT-North","Without Sequence","61.99","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|IT-North","Without Sequence","58.50","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|IT-North","Without Sequence","60.00","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|IT-North","Without Sequence","59.48","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|IT-North","Without Sequence","63.00","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|IT-North","Without Sequence","56.74","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|IT-North","Without Sequence","62.36","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|IT-North","Without Sequence","56.04","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|IT-North","Without Sequence","54.10","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|IT-North","Without Sequence","52.00","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|IT-North","Without Sequence","51.36","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|IT-North","Without Sequence","53.02","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|IT-North","Without Sequence","62.40","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|IT-North","Without Sequence","68.00","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|IT-North","Without Sequence","73.01","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|IT-North","Without Sequence","73.00","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|IT-North","Without Sequence","72.85","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|IT-North","Without Sequence","72.51","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|IT-North","Without Sequence","66.42","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|IT-North","Without Sequence","69.16","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|IT-North","Without Sequence","69.00","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|IT-North","Without Sequence","67.13","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|IT-North","Without Sequence","68.26","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|IT-North","Without Sequence","72.15","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|IT-North","Without Sequence","76.80","",""
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|IT-North","Without Sequence","71.01","",""
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|IT-North","Without Sequence","69.84","",""
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|IT-North","Without Sequence","64.74","",""
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|IT-North","Without Sequence","62.36","",""
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|IT-North","Without Sequence","61.95","",""
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|IT-North","Without Sequence","51.22","",""
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|IT-North","Without Sequence","48.41","",""
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|IT-North","Without Sequence","50.00","",""
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|IT-North","Without Sequence","47.46","",""
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|IT-North","Without Sequence","42.34","",""
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|IT-North","Without Sequence","45.18","",""
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|IT-North","Without Sequence","54.09","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|IT-North","Without Sequence","65.03","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|IT-North","Without Sequence","68.91","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|IT-North","Without Sequence","70.49","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|IT-North","Without Sequence","71.54","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|IT-North","Without Sequence","70.20","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|IT-North","Without Sequence","65.00","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|IT-North","Without Sequence","63.17","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|IT-North","Without Sequence","67.00","",""
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|IT-North","Without Sequence","70.51","",""
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|IT-North","Without Sequence","69.70","",""
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|IT-North","Without Sequence","73.92","",""
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|IT-North","Without Sequence","69.20","",""
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|IT-North","Without Sequence","65.15","",""
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|IT-North","Without Sequence","64.24","",""
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|IT-North","Without Sequence","63.30","",""
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|IT-North","Without Sequence","62.60","",""
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|IT-North","Without Sequence","65.51","",""
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|IT-North","Without Sequence","54.42","",""
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|IT-North","Without Sequence","53.28","",""
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|IT-North","Without Sequence","50.85","",""
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|IT-North","Without Sequence","48.14","",""
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|IT-North","Without Sequence","46.74","",""
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|IT-North","Without Sequence","48.41","",""
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|IT-North","Without Sequence","53.29","",""
"06/01/2017 07:00:00 - 06/01/2017 08:00:00","BZN|IT-North","Without Sequence","62.00","",""
"06/01/2017 08:00:00 - 06/01/2017 09:00:00","BZN|IT-North","Without Sequence","59.92","",""
"06/01/2017 09:00:00 - 06/01/2017 10:00:00","BZN|IT-North","Without Sequence","60.00","",""
"06/01/2017 10:00:00 - 06/01/2017 11:00:00","BZN|IT-North","Without Sequence","63.10","",""
"06/01/2017 11:00:00 - 06/01/2017 12:00:00","BZN|IT-North","Without Sequence","59.55","",""
"06/01/2017 12:00:00 - 06/01/2017 13:00:00","BZN|IT-North","Without Sequence","62.00","",""
"06/01/2017 13:00:00 - 06/01/2017 14:00:00","BZN|IT-North","Without Sequence","54.51","",""
"06/01/2017 14:00:00 - 06/01/2017 15:00:00","BZN|IT-North","Without Sequence","63.10","",""
"06/01/2017 15:00:00 - 06/01/2017 16:00:00","BZN|IT-North","Without Sequence","62.61","",""
"06/01/2017 16:00:00 - 06/01/2017 17:00:00","BZN|IT-North","Without Sequence","63.10","",""
"06/01/2017 17:00:00 - 06/01/2017 18:00:00","BZN|IT-North","Without Sequence","71.01","",""
"06/01/2017 18:00:00 - 06/01/2017 19:00:00","BZN|IT-North","Without Sequence","72.30","",""
"06/01/2017 19:00:00 - 06/01/2017 20:00:00","BZN|IT-North","Without Sequence","79.90","",""
"06/01/2017 20:00:00 - 06/01/2017 21:00:00","BZN|IT-North","Without Sequence","72.00","",""
"06/01/2017 21:00:00 - 06/01/2017 22:00:00","BZN|IT-North","Without Sequence","69.01","",""
"06/01/2017 22:00:00 - 06/01/2017 23:00:00","BZN|IT-North","Without Sequence","63.10","",""
"06/01/2017 23:00:00 - 07/01/2017 00:00:00","BZN|IT-North","Without Sequence","63.10","",""
"07/01/2017 00:00:00 - 07/01/2017 01:00:00","BZN|IT-North","Without Sequence","53.26","",""
