"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2016 06:00:00 - 03/01/2016 07:00:00","BZN|ES","Without Sequence","4.14","",""
"03/01/2016 07:00:00 - 03/01/2016 08:00:00","BZN|ES","Without Sequence","7.08","",""
"03/01/2016 08:00:00 - 03/01/2016 09:00:00","BZN|ES","Without Sequence","11.40","",""
"03/01/2016 09:00:00 - 03/01/2016 10:00:00","BZN|ES","Without Sequence","17.64","",""
"03/01/2016 10:00:00 - 03/01/2016 11:00:00","BZN|ES","Without Sequence","19.99","",""
"03/01/2016 11:00:00 - 03/01/2016 12:00:00","BZN|ES","Without Sequence","22.11","",""
"03/01/2016 12:00:00 - 03/01/2016 13:00:00","BZN|ES","Without Sequence","22.68","",""
"03/01/2016 13:00:00 - 03/01/2016 14:00:00","BZN|ES","Without Sequence","22.00","",""
"03/01/2016 14:00:00 - 03/01/2016 15:00:00","BZN|ES","Without Sequence","19.89","",""
"03/01/2016 15:00:00 - 03/01/2016 16:00:00","BZN|ES","Without Sequence","17.75","",""
"03/01/2016 16:00:00 - 03/01/2016 17:00:00","BZN|ES","Without Sequence","18.76","",""
"03/01/2016 17:00:00 - 03/01/2016 18:00:00","BZN|ES","Without Sequence","21.80","",""
"03/01/2016 18:00:00 - 03/01/2016 19:00:00","BZN|ES","Without Sequence","26.76","",""
"03/01/2016 19:00:00 - 03/01/2016 20:00:00","BZN|ES","Without Sequence","27.23","",""
"03/01/2016 20:00:00 - 03/01/2016 21:00:00","BZN|ES","Without Sequence","25.33","",""
"03/01/2016 21:00:00 - 03/01/2016 22:00:00","BZN|ES","Without Sequence","23.65","",""
"03/01/2016 22:00:00 - 03/01/2016 23:00:00","BZN|ES","Without Sequence","22.57","",""
"03/01/2016 23:00:00 - 04/01/2016 00:00:00","BZN|ES","Without Sequence","21.01","",""
"04/01/2016 00:00:00 - 04/01/2016 01:00:00","BZN|ES","Without Sequence","13.78","",""
"04/01/2016 01:00:00 - 04/01/2016 02:00:00","BZN|ES","Without Sequence","9.00","",""
"04/01/2016 02:00:00 - 04/01/2016 03:00:00","BZN|ES","Without Sequence","6.50","",""
"04/01/2016 03:00:00 - 04/01/2016 04:00:00","BZN|ES","Without Sequence","5.55","",""
"04/01/2016 04:00:00 - 04/01/2016 05:00:00","BZN|ES","Without Sequence","5.00","",""
"04/01/2016 05:00:00 - 04/01/2016 06:00:00","BZN|ES","Without Sequence","8.00","",""
"04/01/2016 06:00:00 - 04/01/2016 07:00:00","BZN|ES","Without Sequence","19.11","",""
"04/01/2016 07:00:00 - 04/01/2016 08:00:00","BZN|ES","Without Sequence","31.44","",""
"04/01/2016 08:00:00 - 04/01/2016 09:00:00","BZN|ES","Without Sequence","38.00","",""
"04/01/2016 09:00:00 - 04/01/2016 10:00:00","BZN|ES","Without Sequence","40.66","",""
"04/01/2016 10:00:00 - 04/01/2016 11:00:00","BZN|ES","Without Sequence","43.00","",""
"04/01/2016 11:00:00 - 04/01/2016 12:00:00","BZN|ES","Without Sequence","42.08","",""
"04/01/2016 12:00:00 - 04/01/2016 13:00:00","BZN|ES","Without Sequence","41.23","",""
"04/01/2016 13:00:00 - 04/01/2016 14:00:00","BZN|ES","Without Sequence","41.48","",""
"04/01/2016 14:00:00 - 04/01/2016 15:00:00","BZN|ES","Without Sequence","40.33","",""
"04/01/2016 15:00:00 - 04/01/2016 16:00:00","BZN|ES","Without Sequence","38.80","",""
"04/01/2016 16:00:00 - 04/01/2016 17:00:00","BZN|ES","Without Sequence","38.00","",""
"04/01/2016 17:00:00 - 04/01/2016 18:00:00","BZN|ES","Without Sequence","41.21","",""
"04/01/2016 18:00:00 - 04/01/2016 19:00:00","BZN|ES","Without Sequence","42.95","",""
"04/01/2016 19:00:00 - 04/01/2016 20:00:00","BZN|ES","Without Sequence","41.96","",""
"04/01/2016 20:00:00 - 04/01/2016 21:00:00","BZN|ES","Without Sequence","40.81","",""
"04/01/2016 21:00:00 - 04/01/2016 22:00:00","BZN|ES","Without Sequence","40.66","",""
"04/01/2016 22:00:00 - 04/01/2016 23:00:00","BZN|ES","Without Sequence","37.67","",""
"04/01/2016 23:00:00 - 05/01/2016 00:00:00","BZN|ES","Without Sequence","23.90","",""
"05/01/2016 00:00:00 - 05/01/2016 01:00:00","BZN|ES","Without Sequence","24.28","",""
"05/01/2016 01:00:00 - 05/01/2016 02:00:00","BZN|ES","Without Sequence","22.00","",""
