"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2020 04:00:00 - 03/01/2020 05:00:00","BZN|IT-North","Without Sequence","29.00","",""
"03/01/2020 05:00:00 - 03/01/2020 06:00:00","BZN|IT-North","Without Sequence","33.69","",""
"03/01/2020 06:00:00 - 03/01/2020 07:00:00","BZN|IT-North","Without Sequence","40.92","",""
"03/01/2020 07:00:00 - 03/01/2020 08:00:00","BZN|IT-North","Without Sequence","43.09","",""
"03/01/2020 08:00:00 - 03/01/2020 09:00:00","BZN|IT-North","Without Sequence","43.30","",""
"03/01/2020 09:00:00 - 03/01/2020 10:00:00","BZN|IT-North","Without Sequence","44.20","",""
"03/01/2020 10:00:00 - 03/01/2020 11:00:00","BZN|IT-North","Without Sequence","44.05","",""
"03/01/2020 11:00:00 - 03/01/2020 12:00:00","BZN|IT-North","Without Sequence","42.95","",""
"03/01/2020 12:00:00 - 03/01/2020 13:00:00","BZN|IT-North","Without Sequence","42.49","",""
"03/01/2020 13:00:00 - 03/01/2020 14:00:00","BZN|IT-North","Without Sequence","42.10","",""
"03/01/2020 14:00:00 - 03/01/2020 15:00:00","BZN|IT-North","Without Sequence","42.80","",""
"03/01/2020 15:00:00 - 03/01/2020 16:00:00","BZN|IT-North","Without Sequence","45.67","",""
"03/01/2020 16:00:00 - 03/01/2020 17:00:00","BZN|IT-North","Without Sequence","48.99","",""
"03/01/2020 17:00:00 - 03/01/2020 18:00:00","BZN|IT-North","Without Sequence","51.00","",""
"03/01/2020 18:00:00 - 03/01/2020 19:00:00","BZN|IT-North","Without Sequence","53.35","",""
"03/01/2020 19:00:00 - 03/01/2020 20:00:00","BZN|IT-North","Without Sequence","50.00","",""
"03/01/2020 20:00:00 - 03/01/2020 21:00:00","BZN|IT-North","Without Sequence","48.00","",""
"03/01/2020 21:00:00 - 03/01/2020 22:00:00","BZN|IT-North","Without Sequence","39.79","",""
"03/01/2020 22:00:00 - 03/01/2020 23:00:00","BZN|IT-North","Without Sequence","40.13","",""
"03/01/2020 23:00:00 - 04/01/2020 00:00:00","BZN|IT-North","Without Sequence","38.77","",""
"04/01/2020 00:00:00 - 04/01/2020 01:00:00","BZN|IT-North","Without Sequence","39.91","",""
"04/01/2020 01:00:00 - 04/01/2020 02:00:00","BZN|IT-North","Without Sequence","39.60","",""
"04/01/2020 02:00:00 - 04/01/2020 03:00:00","BZN|IT-North","Without Sequence","35.50","",""
"04/01/2020 03:00:00 - 04/01/2020 04:00:00","BZN|IT-North","Without Sequence","34.04","",""
"04/01/2020 04:00:00 - 04/01/2020 05:00:00","BZN|IT-North","Without Sequence","34.58","",""
"04/01/2020 05:00:00 - 04/01/2020 06:00:00","BZN|IT-North","Without Sequence","37.49","",""
"04/01/2020 06:00:00 - 04/01/2020 07:00:00","BZN|IT-North","Without Sequence","41.06","",""
"04/01/2020 07:00:00 - 04/01/2020 08:00:00","BZN|IT-North","Without Sequence","43.99","",""
"04/01/2020 08:00:00 - 04/01/2020 09:00:00","BZN|IT-North","Without Sequence","44.06","",""
"04/01/2020 09:00:00 - 04/01/2020 10:00:00","BZN|IT-North","Without Sequence","42.80","",""
"04/01/2020 10:00:00 - 04/01/2020 11:00:00","BZN|IT-North","Without Sequence","41.06","",""
"04/01/2020 11:00:00 - 04/01/2020 12:00:00","BZN|IT-North","Without Sequence","40.40","",""
"04/01/2020 12:00:00 - 04/01/2020 13:00:00","BZN|IT-North","Without Sequence","40.85","",""
"04/01/2020 13:00:00 - 04/01/2020 14:00:00","BZN|IT-North","Without Sequence","40.00","",""
