"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2015 00:00:00 - 01/01/2015 01:00:00","BZN|ES","Without Sequence","50.10","",""
"01/01/2015 01:00:00 - 01/01/2015 02:00:00","BZN|ES","Without Sequence","48.10","",""
"01/01/2015 02:00:00 - 01/01/2015 03:00:00","BZN|ES","Without Sequence","47.33","",""
"01/01/2015 03:00:00 - 01/01/2015 04:00:00","BZN|ES","Without Sequence","42.27","",""
"01/01/2015 04:00:00 - 01/01/2015 05:00:00","BZN|ES","Without Sequence","38.41","",""
"01/01/2015 05:00:00 - 01/01/2015 06:00:00","BZN|ES","Without Sequence","35.72","",""
"01/01/2015 06:00:00 - 01/01/2015 07:00:00","BZN|ES","Without Sequence","35.13","",""
"01/01/2015 07:00:00 - 01/01/2015 08:00:00","BZN|ES","Without Sequence","36.22","",""
"01/01/2015 08:00:00 - 01/01/2015 09:00:00","BZN|ES","Without Sequence","32.40","",""
"01/01/2015 09:00:00 - 01/01/2015 10:00:00","BZN|ES","Without Sequence","36.60","",""
"01/01/2015 10:00:00 - 01/01/2015 11:00:00","BZN|ES","Without Sequence","43.10","",""
"01/01/2015 11:00:00 - 01/01/2015 12:00:00","BZN|ES","Without Sequence","45.14","",""
"01/01/2015 12:00:00 - 01/01/2015 13:00:00","BZN|ES","Without Sequence","45.14","",""
"01/01/2015 13:00:00 - 01/01/2015 14:00:00","BZN|ES","Without Sequence","47.35","",""
"01/01/2015 14:00:00 - 01/01/2015 15:00:00","BZN|ES","Without Sequence","47.35","",""
"01/01/2015 15:00:00 - 01/01/2015 16:00:00","BZN|ES","Without Sequence","43.61","",""
"01/01/2015 16:00:00 - 01/01/2015 17:00:00","BZN|ES","Without Sequence","44.91","",""
"01/01/2015 17:00:00 - 01/01/2015 18:00:00","BZN|ES","Without Sequence","48.10","",""
"01/01/2015 18:00:00 - 01/01/2015 19:00:00","BZN|ES","Without Sequence","58.02","",""
"01/01/2015 19:00:00 - 01/01/2015 20:00:00","BZN|ES","Without Sequence","61.01","",""
"01/01/2015 20:00:00 - 01/01/2015 21:00:00","BZN|ES","Without Sequence","62.69","",""
"01/01/2015 21:00:00 - 01/01/2015 22:00:00","BZN|ES","Without Sequence","60.41","",""
"01/01/2015 22:00:00 - 01/01/2015 23:00:00","BZN|ES","Without Sequence","58.15","",""
"01/01/2015 23:00:00 - 02/01/2015 00:00:00","BZN|ES","Without Sequence","53.60","",""
"02/01/2015 00:00:00 - 02/01/2015 01:00:00","BZN|ES","Without Sequence","47.34","",""
"02/01/2015 01:00:00 - 02/01/2015 02:00:00","BZN|ES","Without Sequence","40.40","",""
"02/01/2015 02:00:00 - 02/01/2015 03:00:00","BZN|ES","Without Sequence","36.00","",""
"02/01/2015 03:00:00 - 02/01/2015 04:00:00","BZN|ES","Without Sequence","37.00","",""
"02/01/2015 04:00:00 - 02/01/2015 05:00:00","BZN|ES","Without Sequence","35.99","",""
"02/01/2015 05:00:00 - 02/01/2015 06:00:00","BZN|ES","Without Sequence","37.98","",""
"02/01/2015 06:00:00 - 02/01/2015 07:00:00","BZN|ES","Without Sequence","43.61","",""
"02/01/2015 07:00:00 - 02/01/2015 08:00:00","BZN|ES","Without Sequence","56.10","",""
"02/01/2015 08:00:00 - 02/01/2015 09:00:00","BZN|ES","Without Sequence","57.69","",""
"02/01/2015 09:00:00 - 02/01/2015 10:00:00","BZN|ES","Without Sequence","60.01","",""
"02/01/2015 10:00:00 - 02/01/2015 11:00:00","BZN|ES","Without Sequence","62.25","",""
"02/01/2015 11:00:00 - 02/01/2015 12:00:00","BZN|ES","Without Sequence","60.01","",""
"02/01/2015 12:00:00 - 02/01/2015 13:00:00","BZN|ES","Without Sequence","59.97","",""
"02/01/2015 13:00:00 - 02/01/2015 14:00:00","BZN|ES","Without Sequence","59.69","",""
"02/01/2015 14:00:00 - 02/01/2015 15:00:00","BZN|ES","Without Sequence","58.69","",""
"02/01/2015 15:00:00 - 02/01/2015 16:00:00","BZN|ES","Without Sequence","58.13","",""
"02/01/2015 16:00:00 - 02/01/2015 17:00:00","BZN|ES","Without Sequence","59.00","",""
"02/01/2015 17:00:00 - 02/01/2015 18:00:00","BZN|ES","Without Sequence","59.69","",""
"02/01/2015 18:00:00 - 02/01/2015 19:00:00","BZN|ES","Without Sequence","63.76","",""
"02/01/2015 19:00:00 - 02/01/2015 20:00:00","BZN|ES","Without Sequence","65.01","",""
"02/01/2015 20:00:00 - 02/01/2015 21:00:00","BZN|ES","Without Sequence","65.01","",""
"02/01/2015 21:00:00 - 02/01/2015 22:00:00","BZN|ES","Without Sequence","61.75","",""
"02/01/2015 22:00:00 - 02/01/2015 23:00:00","BZN|ES","Without Sequence","59.96","",""
"02/01/2015 23:00:00 - 03/01/2015 00:00:00","BZN|ES","Without Sequence","58.69","",""
"03/01/2015 00:00:00 - 03/01/2015 01:00:00","BZN|ES","Without Sequence","52.10","",""
"03/01/2015 01:00:00 - 03/01/2015 02:00:00","BZN|ES","Without Sequence","47.84","",""
