"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2018 00:00:00 - 01/01/2018 01:00:00","BZN|IT-North","Without Sequence","45.73","",""
"01/01/2018 01:00:00 - 01/01/2018 02:00:00","BZN|IT-North","Without Sequence","44.16","",""
"01/01/2018 02:00:00 - 01/01/2018 03:00:00","BZN|IT-North","Without Sequence","42.24","",""
"01/01/2018 03:00:00 - 01/01/2018 04:00:00","BZN|IT-North","Without Sequence","39.29","",""
"01/01/2018 04:00:00 - 01/01/2018 05:00:00","BZN|IT-North","Without Sequence","36.00","",""
"01/01/2018 05:00:00 - 01/01/2018 06:00:00","BZN|IT-North","Without Sequence","41.99","",""
"01/01/2018 06:00:00 - 01/01/2018 07:00:00","BZN|IT-North","Without Sequence","42.25","",""
"01/01/2018 07:00:00 - 01/01/2018 08:00:00","BZN|IT-North","Without Sequence","44.97","",""
"01/01/2018 08:00:00 - 01/01/2018 09:00:00","BZN|IT-North","Without Sequence","45.00","",""
"01/01/2018 09:00:00 - 01/01/2018 10:00:00","BZN|IT-North","Without Sequence","44.94","",""
"01/01/2018 10:00:00 - 01/01/2018 11:00:00","BZN|IT-North","Without Sequence","45.04","",""
"01/01/2018 11:00:00 - 01/01/2018 12:00:00","BZN|IT-North","Without Sequence","46.67","",""
"01/01/2018 12:00:00 - 01/01/2018 13:00:00","BZN|IT-North","Without Sequence","46.99","",""
"01/01/2018 13:00:00 - 01/01/2018 14:00:00","BZN|IT-North","Without Sequence","44.16","",""
"01/01/2018 14:00:00 - 01/01/2018 15:00:00","BZN|IT-North","Without Sequence","45.26","",""
"01/01/2018 15:00:00 - 01/01/2018 16:00:00","BZN|IT-North","Without Sequence","47.84","",""
"01/01/2018 16:00:00 - 01/01/2018 17:00:00","BZN|IT-North","Without Sequence","50.10","",""
"01/01/2018 17:00:00 - 01/01/2018 18:00:00","BZN|IT-North","Without Sequence","54.30","",""
"01/01/2018 18:00:00 - 01/01/2018 19:00:00","BZN|IT-North","Without Sequence","51.91","",""
"01/01/2018 19:00:00 - 01/01/2018 20:00:00","BZN|IT-North","Without Sequence","51.38","",""
"01/01/2018 20:00:00 - 01/01/2018 21:00:00","BZN|IT-North","Without Sequence","49.20","",""
"01/01/2018 21:00:00 - 01/01/2018 22:00:00","BZN|IT-North","Without Sequence","45.73","",""
"01/01/2018 22:00:00 - 01/01/2018 23:00:00","BZN|IT-North","Without Sequence","44.84","",""
"01/01/2018 23:00:00 - 02/01/2018 00:00:00","BZN|IT-North","Without Sequence","38.11","",""
"02/01/2018 00:00:00 - 02/01/2018 01:00:00","BZN|IT-North","Without Sequence","19.19","",""
"02/01/2018 01:00:00 - 02/01/2018 02:00:00","BZN|IT-North","Without Sequence","14.99","",""
"02/01/2018 02:00:00 - 02/01/2018 03:00:00","BZN|IT-North","Without Sequence","11.00","",""
"02/01/2018 03:00:00 - 02/01/2018 04:00:00","BZN|IT-North","Without Sequence","10.00","",""
"02/01/2018 04:00:00 - 02/01/2018 05:00:00","BZN|IT-North","Without Sequence","11.83","",""
"02/01/2018 05:00:00 - 02/01/2018 06:00:00","BZN|IT-North","Without Sequence","14.99","",""
"02/01/2018 06:00:00 - 02/01/2018 07:00:00","BZN|IT-North","Without Sequence","40.60","",""
"02/01/2018 07:00:00 - 02/01/2018 08:00:00","BZN|IT-North","Without Sequence","46.99","",""
"02/01/2018 08:00:00 - 02/01/2018 09:00:00","BZN|IT-North","Without Sequence","47.95","",""
"02/01/2018 09:00:00 - 02/01/2018 10:00:00","BZN|IT-North","Without Sequence","49.90","",""
"02/01/2018 10:00:00 - 02/01/2018 11:00:00","BZN|IT-North","Without Sequence","50.00","",""
"02/01/2018 11:00:00 - 02/01/2018 12:00:00","BZN|IT-North","Without Sequence","49.70","",""
"02/01/2018 12:00:00 - 02/01/2018 13:00:00","BZN|IT-North","Without Sequence","48.16","",""
"02/01/2018 13:00:00 - 02/01/2018 14:00:00","BZN|IT-North","Without Sequence","47.24","",""
"02/01/2018 14:00:00 - 02/01/2018 15:00:00","BZN|IT-North","Without Sequence","46.10","",""
"02/01/2018 15:00:00 - 02/01/2018 16:00:00","BZN|IT-North","Without Sequence","47.60","",""
"02/01/2018 16:00:00 - 02/01/2018 17:00:00","BZN|IT-North","Without Sequence","50.45","",""
"02/01/2018 17:00:00 - 02/01/2018 18:00:00","BZN|IT-North","Without Sequence","54.90","",""
"02/01/2018 18:00:00 - 02/01/2018 19:00:00","BZN|IT-North","Without Sequence","57.18","",""
"02/01/2018 19:00:00 - 02/01/2018 20:00:00","BZN|IT-North","Without Sequence","54.90","",""
"02/01/2018 20:00:00 - 02/01/2018 21:00:00","BZN|IT-North","Without Sequence","51.20","",""
"02/01/2018 21:00:00 - 02/01/2018 22:00:00","BZN|IT-North","Without Sequence","48.82","",""
"02/01/2018 22:00:00 - 02/01/2018 23:00:00","BZN|IT-North","Without Sequence","45.14","",""
"02/01/2018 23:00:00 - 03/01/2018 00:00:00","BZN|IT-North","Without Sequence","40.09","",""
"03/01/2018 00:00:00 - 03/01/2018 01:00:00","BZN|IT-North","Without Sequence","42.75","",""
"03/01/2018 01:00:00 - 03/01/2018 02:00:00","BZN|IT-North","Without Sequence","35.02","",""
"03/01/2018 02:00:00 - 03/01/2018 03:00:00","BZN|IT-North","Without Sequence","28.85","",""
"03/01/2018 03:00:00 - 03/01/2018 04:00:00","BZN|IT-North","Without Sequence","28.00","",""
"03/01/2018 04:00:00 - 03/01/2018 05:00:00","BZN|IT-North","Without Sequence","35.02","",""
"03/01/2018 05:00:00 - 03/01/2018 06:00:00","BZN|IT-North","Without Sequence","44.49","",""
"03/01/2018 06:00:00 - 03/01/2018 07:00:00","BZN|IT-North","Without Sequence","50.65","",""
"03/01/2018 07:00:00 - 03/01/2018 08:00:00","BZN|IT-North","Without Sequence","67.00","",""
"03/01/2018 08:00:00 - 03/01/2018 09:00:00","BZN|IT-North","Without Sequence","70.00","",""
"03/01/2018 09:00:00 - 03/01/2018 10:00:00","BZN|IT-North","Without Sequence","68.00","",""
"03/01/2018 10:00:00 - 03/01/2018 11:00:00","BZN|IT-North","Without Sequence","55.70","",""
"03/01/2018 11:00:00 - 03/01/2018 12:00:00","BZN|IT-North","Without Sequence","53.30","",""
"03/01/2018 12:00:00 - 03/01/2018 13:00:00","BZN|IT-North","Without Sequence","52.61","",""
"03/01/2018 13:00:00 - 03/01/2018 14:00:00","BZN|IT-North","Without Sequence","50.65","",""
"03/01/2018 14:00:00 - 03/01/2018 15:00:00","BZN|IT-North","Without Sequence","53.30","",""
"03/01/2018 15:00:00 - 03/01/2018 16:00:00","BZN|IT-North","Without Sequence","54.90","",""
"03/01/2018 16:00:00 - 03/01/2018 17:00:00","BZN|IT-North","Without Sequence","59.00","",""
"03/01/2018 17:00:00 - 03/01/2018 18:00:00","BZN|IT-North","Without Sequence","70.00","",""
"03/01/2018 18:00:00 - 03/01/2018 19:00:00","BZN|IT-North","Without Sequence","67.18","",""
"03/01/2018 19:00:00 - 03/01/2018 20:00:00","BZN|IT-North","Without Sequence","62.60","",""
"03/01/2018 20:00:00 - 03/01/2018 21:00:00","BZN|IT-North","Without Sequence","57.71","",""
"03/01/2018 21:00:00 - 03/01/2018 22:00:00","BZN|IT-North","Without Sequence","53.30","",""
"03/01/2018 22:00:00 - 03/01/2018 23:00:00","BZN|IT-North","Without Sequence","49.70","",""
"03/01/2018 23:00:00 - 04/01/2018 00:00:00","BZN|IT-North","Without Sequence","44.15","",""
