"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2017 06:00:00 - 03/01/2017 07:00:00","BZN|FR","Without Sequence","57.65","",""
"03/01/2017 07:00:00 - 03/01/2017 08:00:00","BZN|FR","Without Sequence","70.51","",""
"03/01/2017 08:00:00 - 03/01/2017 09:00:00","BZN|FR","Without Sequence","74.04","",""
"03/01/2017 09:00:00 - 03/01/2017 10:00:00","BZN|FR","Without Sequence","75.32","",""
"03/01/2017 10:00:00 - 03/01/2017 11:00:00","BZN|FR","Without Sequence","74.65","",""
"03/01/2017 11:00:00 - 03/01/2017 12:00:00","BZN|FR","Without Sequence","73.31","",""
"03/01/2017 12:00:00 - 03/01/2017 13:00:00","BZN|FR","Without Sequence","72.71","",""
"03/01/2017 13:00:00 - 03/01/2017 14:00:00","BZN|FR","Without Sequence","71.69","",""
"03/01/2017 14:00:00 - 03/01/2017 15:00:00","BZN|FR","Without Sequence","70.51","",""
"03/01/2017 15:00:00 - 03/01/2017 16:00:00","BZN|FR","Without Sequence","69.94","",""
"03/01/2017 16:00:00 - 03/01/2017 17:00:00","BZN|FR","Without Sequence","71.11","",""
"03/01/2017 17:00:00 - 03/01/2017 18:00:00","BZN|FR","Without Sequence","81.32","",""
"03/01/2017 18:00:00 - 03/01/2017 19:00:00","BZN|FR","Without Sequence","137.21","",""
"03/01/2017 19:00:00 - 03/01/2017 20:00:00","BZN|FR","Without Sequence","90.17","",""
"03/01/2017 20:00:00 - 03/01/2017 21:00:00","BZN|FR","Without Sequence","74.94","",""
"03/01/2017 21:00:00 - 03/01/2017 22:00:00","BZN|FR","Without Sequence","71.59","",""
"03/01/2017 22:00:00 - 03/01/2017 23:00:00","BZN|FR","Without Sequence","68.73","",""
"03/01/2017 23:00:00 - 04/01/2017 00:00:00","BZN|FR","Without Sequence","67.42","",""
"04/01/2017 00:00:00 - 04/01/2017 01:00:00","BZN|FR","Without Sequence","62.69","",""
"04/01/2017 01:00:00 - 04/01/2017 02:00:00","BZN|FR","Without Sequence","56.04","",""
"04/01/2017 02:00:00 - 04/01/2017 03:00:00","BZN|FR","Without Sequence","54.10","",""
"04/01/2017 03:00:00 - 04/01/2017 04:00:00","BZN|FR","Without Sequence","52.00","",""
"04/01/2017 04:00:00 - 04/01/2017 05:00:00","BZN|FR","Without Sequence","51.36","",""
"04/01/2017 05:00:00 - 04/01/2017 06:00:00","BZN|FR","Without Sequence","53.02","",""
"04/01/2017 06:00:00 - 04/01/2017 07:00:00","BZN|FR","Without Sequence","62.40","",""
"04/01/2017 07:00:00 - 04/01/2017 08:00:00","BZN|FR","Without Sequence","72.32","",""
"04/01/2017 08:00:00 - 04/01/2017 09:00:00","BZN|FR","Without Sequence","73.01","",""
"04/01/2017 09:00:00 - 04/01/2017 10:00:00","BZN|FR","Without Sequence","73.00","",""
"04/01/2017 10:00:00 - 04/01/2017 11:00:00","BZN|FR","Without Sequence","72.85","",""
"04/01/2017 11:00:00 - 04/01/2017 12:00:00","BZN|FR","Without Sequence","72.51","",""
"04/01/2017 12:00:00 - 04/01/2017 13:00:00","BZN|FR","Without Sequence","71.72","",""
"04/01/2017 13:00:00 - 04/01/2017 14:00:00","BZN|FR","Without Sequence","71.59","",""
"04/01/2017 14:00:00 - 04/01/2017 15:00:00","BZN|FR","Without Sequence","69.00","",""
"04/01/2017 15:00:00 - 04/01/2017 16:00:00","BZN|FR","Without Sequence","67.13","",""
"04/01/2017 16:00:00 - 04/01/2017 17:00:00","BZN|FR","Without Sequence","68.26","",""
"04/01/2017 17:00:00 - 04/01/2017 18:00:00","BZN|FR","Without Sequence","72.15","",""
"04/01/2017 18:00:00 - 04/01/2017 19:00:00","BZN|FR","Without Sequence","76.80","",""
"04/01/2017 19:00:00 - 04/01/2017 20:00:00","BZN|FR","Without Sequence","76.16","",""
"04/01/2017 20:00:00 - 04/01/2017 21:00:00","BZN|FR","Without Sequence","72.48","",""
"04/01/2017 21:00:00 - 04/01/2017 22:00:00","BZN|FR","Without Sequence","66.16","",""
"04/01/2017 22:00:00 - 04/01/2017 23:00:00","BZN|FR","Without Sequence","64.98","",""
"04/01/2017 23:00:00 - 05/01/2017 00:00:00","BZN|FR","Without Sequence","61.95","",""
"05/01/2017 00:00:00 - 05/01/2017 01:00:00","BZN|FR","Without Sequence","51.22","",""
"05/01/2017 01:00:00 - 05/01/2017 02:00:00","BZN|FR","Without Sequence","48.41","",""
"05/01/2017 02:00:00 - 05/01/2017 03:00:00","BZN|FR","Without Sequence","50.00","",""
"05/01/2017 03:00:00 - 05/01/2017 04:00:00","BZN|FR","Without Sequence","47.46","",""
"05/01/2017 04:00:00 - 05/01/2017 05:00:00","BZN|FR","Without Sequence","42.34","",""
"05/01/2017 05:00:00 - 05/01/2017 06:00:00","BZN|FR","Without Sequence","45.18","",""
"05/01/2017 06:00:00 - 05/01/2017 07:00:00","BZN|FR","Without Sequence","54.09","",""
"05/01/2017 07:00:00 - 05/01/2017 08:00:00","BZN|FR","Without Sequence","66.21","",""
"05/01/2017 08:00:00 - 05/01/2017 09:00:00","BZN|FR","Without Sequence","69.70","",""
"05/01/2017 09:00:00 - 05/01/2017 10:00:00","BZN|FR","Without Sequence","72.60","",""
"05/01/2017 10:00:00 - 05/01/2017 11:00:00","BZN|FR","Without Sequence","73.03","",""
"05/01/2017 11:00:00 - 05/01/2017 12:00:00","BZN|FR","Without Sequence","72.60","",""
"05/01/2017 12:00:00 - 05/01/2017 13:00:00","BZN|FR","Without Sequence","72.54","",""
"05/01/2017 13:00:00 - 05/01/2017 14:00:00","BZN|FR","Without Sequence","71.51","",""
"05/01/2017 14:00:00 - 05/01/2017 15:00:00","BZN|FR","Without Sequence","71.10","",""
"05/01/2017 15:00:00 - 05/01/2017 16:00:00","BZN|FR","Without Sequence","70.51","",""
"05/01/2017 16:00:00 - 05/01/2017 17:00:00","BZN|FR","Without Sequence","69.70","",""
"05/01/2017 17:00:00 - 05/01/2017 18:00:00","BZN|FR","Without Sequence","74.31","",""
"05/01/2017 18:00:00 - 05/01/2017 19:00:00","BZN|FR","Without Sequence","96.93","",""
"05/01/2017 19:00:00 - 05/01/2017 20:00:00","BZN|FR","Without Sequence","89.53","",""
"05/01/2017 20:00:00 - 05/01/2017 21:00:00","BZN|FR","Without Sequence","73.69","",""
"05/01/2017 21:00:00 - 05/01/2017 22:00:00","BZN|FR","Without Sequence","71.68","",""
"05/01/2017 22:00:00 - 05/01/2017 23:00:00","BZN|FR","Without Sequence","66.76","",""
"05/01/2017 23:00:00 - 06/01/2017 00:00:00","BZN|FR","Without Sequence","69.20","",""
"06/01/2017 00:00:00 - 06/01/2017 01:00:00","BZN|FR","Without Sequence","59.58","",""
"06/01/2017 01:00:00 - 06/01/2017 02:00:00","BZN|FR","Without Sequence","53.98","",""
"06/01/2017 02:00:00 - 06/01/2017 03:00:00","BZN|FR","Without Sequence","52.11","",""
"06/01/2017 03:00:00 - 06/01/2017 04:00:00","BZN|FR","Without Sequence","48.14","",""
"06/01/2017 04:00:00 - 06/01/2017 05:00:00","BZN|FR","Without Sequence","46.74","",""
"06/01/2017 05:00:00 - 06/01/2017 06:00:00","BZN|FR","Without Sequence","48.41","",""
"06/01/2017 06:00:00 - 06/01/2017 07:00:00","BZN|FR","Without Sequence","53.29","",""
"06/01/2017 07:00:00 - 06/01/2017 08:00:00","BZN|FR","Without Sequence","73.28","",""
"06/01/2017 08:00:00 - 06/01/2017 09:00:00","BZN|FR","Without Sequence","86.03","",""
"06/01/2017 09:00:00 - 06/01/2017 10:00:00","BZN|FR","Without Sequence","76.14","",""
"06/01/2017 10:00:00 - 06/01/2017 11:00:00","BZN|FR","Without Sequence","72.86","",""
"06/01/2017 11:00:00 - 06/01/2017 12:00:00","BZN|FR","Without Sequence","75.08","",""
"06/01/2017 12:00:00 - 06/01/2017 13:00:00","BZN|FR","Without Sequence","84.90","",""
"06/01/2017 13:00:00 - 06/01/2017 14:00:00","BZN|FR","Without Sequence","70.99","",""
"06/01/2017 14:00:00 - 06/01/2017 15:00:00","BZN|FR","Without Sequence","68.53","",""
"06/01/2017 15:00:00 - 06/01/2017 16:00:00","BZN|FR","Without Sequence","65.62","",""
"06/01/2017 16:00:00 - 06/01/2017 17:00:00","BZN|FR","Without Sequence","66.21","",""
"06/01/2017 17:00:00 - 06/01/2017 18:00:00","BZN|FR","Without Sequence","71.01","",""
"06/01/2017 18:00:00 - 06/01/2017 19:00:00","BZN|FR","Without Sequence","169.32","",""
"06/01/2017 19:00:00 - 06/01/2017 20:00:00","BZN|FR","Without Sequence","107.85","",""
"06/01/2017 20:00:00 - 06/01/2017 21:00:00","BZN|FR","Without Sequence","85.17","",""
"06/01/2017 21:00:00 - 06/01/2017 22:00:00","BZN|FR","Without Sequence","78.07","",""
"06/01/2017 22:00:00 - 06/01/2017 23:00:00","BZN|FR","Without Sequence","78.57","",""
"06/01/2017 23:00:00 - 07/01/2017 00:00:00","BZN|FR","Without Sequence","106.13","",""
"07/01/2017 00:00:00 - 07/01/2017 01:00:00","BZN|FR","Without Sequence","66.00","",""
"07/01/2017 01:00:00 - 07/01/2017 02:00:00","BZN|FR","Without Sequence","60.00","",""
"07/01/2017 02:00:00 - 07/01/2017 03:00:00","BZN|FR","Without Sequence","55.95","",""
"07/01/2017 03:00:00 - 07/01/2017 04:00:00","BZN|FR","Without Sequence","52.00","",""
"07/01/2017 04:00:00 - 07/01/2017 05:00:00","BZN|FR","Without Sequence","50.78","",""
"07/01/2017 05:00:00 - 07/01/2017 06:00:00","BZN|FR","Without Sequence","50.74","",""
"07/01/2017 06:00:00 - 07/01/2017 07:00:00","BZN|FR","Without Sequence","54.08","",""
"07/01/2017 07:00:00 - 07/01/2017 08:00:00","BZN|FR","Without Sequence","56.28","",""
"07/01/2017 08:00:00 - 07/01/2017 09:00:00","BZN|FR","Without Sequence","61.28","",""
"07/01/2017 09:00:00 - 07/01/2017 10:00:00","BZN|FR","Without Sequence","67.20","",""
"07/01/2017 10:00:00 - 07/01/2017 11:00:00","BZN|FR","Without Sequence","73.48","",""
"07/01/2017 11:00:00 - 07/01/2017 12:00:00","BZN|FR","Without Sequence","70.69","",""
"07/01/2017 12:00:00 - 07/01/2017 13:00:00","BZN|FR","Without Sequence","70.69","",""
"07/01/2017 13:00:00 - 07/01/2017 14:00:00","BZN|FR","Without Sequence","63.73","",""
"07/01/2017 14:00:00 - 07/01/2017 15:00:00","BZN|FR","Without Sequence","55.09","",""
"07/01/2017 15:00:00 - 07/01/2017 16:00:00","BZN|FR","Without Sequence","53.26","",""
"07/01/2017 16:00:00 - 07/01/2017 17:00:00","BZN|FR","Without Sequence","59.08","",""
"07/01/2017 17:00:00 - 07/01/2017 18:00:00","BZN|FR","Without Sequence","69.99","",""
"07/01/2017 18:00:00 - 07/01/2017 19:00:00","BZN|FR","Without Sequence","76.52","",""
"07/01/2017 19:00:00 - 07/01/2017 20:00:00","BZN|FR","Without Sequence","78.28","",""
"07/01/2017 20:00:00 - 07/01/2017 21:00:00","BZN|FR","Without Sequence","68.23","",""
"07/01/2017 21:00:00 - 07/01/2017 22:00:00","BZN|FR","Without Sequence","60.00","",""
"07/01/2017 22:00:00 - 07/01/2017 23:00:00","BZN|FR","Without Sequence","61.19","",""
"07/01/2017 23:00:00 - 08/01/2017 00:00:00","BZN|FR","Without Sequence","66.09","",""
"08/01/2017 00:00:00 - 08/01/2017 01:00:00","BZN|FR","Without Sequence","69.20","",""
"08/01/2017 01:00:00 - 08/01/2017 02:00:00","BZN|FR","Without Sequence","61.07","",""
"08/01/2017 02:00:00 - 08/01/2017 03:00:00","BZN|FR","Without Sequence","55.47","",""
"08/01/2017 03:00:00 - 08/01/2017 04:00:00","BZN|FR","Without Sequence","50.22","",""
"08/01/2017 04:00:00 - 08/01/2017 05:00:00","BZN|FR","Without Sequence","47.99","",""
"08/01/2017 05:00:00 - 08/01/2017 06:00:00","BZN|FR","Without Sequence","48.00","",""
"08/01/2017 06:00:00 - 08/01/2017 07:00:00","BZN|FR","Without Sequence","47.15","",""
"08/01/2017 07:00:00 - 08/01/2017 08:00:00","BZN|FR","Without Sequence","50.13","",""
"08/01/2017 08:00:00 - 08/01/2017 09:00:00","BZN|FR","Without Sequence","51.30","",""
"08/01/2017 09:00:00 - 08/01/2017 10:00:00","BZN|FR","Without Sequence","54.00","",""
"08/01/2017 10:00:00 - 08/01/2017 11:00:00","BZN|FR","Without Sequence","58.07","",""
"08/01/2017 11:00:00 - 08/01/2017 12:00:00","BZN|FR","Without Sequence","61.28","",""
"08/01/2017 12:00:00 - 08/01/2017 13:00:00","BZN|FR","Without Sequence","67.10","",""
"08/01/2017 13:00:00 - 08/01/2017 14:00:00","BZN|FR","Without Sequence","64.60","",""
"08/01/2017 14:00:00 - 08/01/2017 15:00:00","BZN|FR","Without Sequence","54.74","",""
"08/01/2017 15:00:00 - 08/01/2017 16:00:00","BZN|FR","Without Sequence","53.00","",""
"08/01/2017 16:00:00 - 08/01/2017 17:00:00","BZN|FR","Without Sequence","54.08","",""
