"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2016 00:00:00 - 01/01/2016 01:00:00","BZN|IT-North","Without Sequence","49.62","",""
"01/01/2016 01:00:00 - 01/01/2016 02:00:00","BZN|IT-North","Without Sequence","43.50","",""
"01/01/2016 02:00:00 - 01/01/2016 03:00:00","BZN|IT-North","Without Sequence","38.63","",""
"01/01/2016 03:00:00 - 01/01/2016 04:00:00","BZN|IT-North","Without Sequence","36.80","",""
"01/01/2016 04:00:00 - 01/01/2016 05:00:00","BZN|IT-North","Without Sequence","34.50","",""
"01/01/2016 05:00:00 - 01/01/2016 06:00:00","BZN|IT-North","Without Sequence","32.10","",""
"01/01/2016 06:00:00 - 01/01/2016 07:00:00","BZN|IT-North","Without Sequence","36.00","",""
"01/01/2016 07:00:00 - 01/01/2016 08:00:00","BZN|IT-North","Without Sequence","37.54","",""
"01/01/2016 08:00:00 - 01/01/2016 09:00:00","BZN|IT-North","Without Sequence","37.54","",""
"01/01/2016 09:00:00 - 01/01/2016 10:00:00","BZN|IT-North","Without Sequence","35.95","",""
"01/01/2016 10:00:00 - 01/01/2016 11:00:00","BZN|IT-North","Without Sequence","37.63","",""
"01/01/2016 11:00:00 - 01/01/2016 12:00:00","BZN|IT-North","Without Sequence","36.80","",""
"01/01/2016 12:00:00 - 01/01/2016 13:00:00","BZN|IT-North","Without Sequence","37.54","",""
"01/01/2016 13:00:00 - 01/01/2016 14:00:00","BZN|IT-North","Without Sequence","34.60","",""
"01/01/2016 14:00:00 - 01/01/2016 15:00:00","BZN|IT-North","Without Sequence","35.95","",""
"01/01/2016 15:00:00 - 01/01/2016 16:00:00","BZN|IT-North","Without Sequence","41.18","",""
"01/01/2016 16:00:00 - 01/01/2016 17:00:00","BZN|IT-North","Without Sequence","46.65","",""
"01/01/2016 17:00:00 - 01/01/2016 18:00:00","BZN|IT-North","Without Sequence","57.96","",""
"01/01/2016 18:00:00 - 01/01/2016 19:00:00","BZN|IT-North","Without Sequence","61.31","",""
"01/01/2016 19:00:00 - 01/01/2016 20:00:00","BZN|IT-North","Without Sequence","60.00","",""
"01/01/2016 20:00:00 - 01/01/2016 21:00:00","BZN|IT-North","Without Sequence","57.00","",""
"01/01/2016 21:00:00 - 01/01/2016 22:00:00","BZN|IT-North","Without Sequence","55.00","",""
"01/01/2016 22:00:00 - 01/01/2016 23:00:00","BZN|IT-North","Without Sequence","46.76","",""
"01/01/2016 23:00:00 - 02/01/2016 00:00:00","BZN|IT-North","Without Sequence","43.21","",""
"02/01/2016 00:00:00 - 02/01/2016 01:00:00","BZN|IT-North","Without Sequence","39.52","",""
"02/01/2016 01:00:00 - 02/01/2016 02:00:00","BZN|IT-North","Without Sequence","36.29","",""
"02/01/2016 02:00:00 - 02/01/2016 03:00:00","BZN|IT-North","Without Sequence","35.89","",""
"02/01/2016 03:00:00 - 02/01/2016 04:00:00","BZN|IT-North","Without Sequence","35.22","",""
"02/01/2016 04:00:00 - 02/01/2016 05:00:00","BZN|IT-North","Without Sequence","35.15","",""
"02/01/2016 05:00:00 - 02/01/2016 06:00:00","BZN|IT-North","Without Sequence","35.89","",""
"02/01/2016 06:00:00 - 02/01/2016 07:00:00","BZN|IT-North","Without Sequence","38.72","",""
"02/01/2016 07:00:00 - 02/01/2016 08:00:00","BZN|IT-North","Without Sequence","45.88","",""
"02/01/2016 08:00:00 - 02/01/2016 09:00:00","BZN|IT-North","Without Sequence","54.51","",""
"02/01/2016 09:00:00 - 02/01/2016 10:00:00","BZN|IT-North","Without Sequence","55.00","",""
"02/01/2016 10:00:00 - 02/01/2016 11:00:00","BZN|IT-North","Without Sequence","54.61","",""
"02/01/2016 11:00:00 - 02/01/2016 12:00:00","BZN|IT-North","Without Sequence","48.48","",""
"02/01/2016 12:00:00 - 02/01/2016 13:00:00","BZN|IT-North","Without Sequence","45.01","",""
"02/01/2016 13:00:00 - 02/01/2016 14:00:00","BZN|IT-North","Without Sequence","41.64","",""
"02/01/2016 14:00:00 - 02/01/2016 15:00:00","BZN|IT-North","Without Sequence","43.72","",""
"02/01/2016 15:00:00 - 02/01/2016 16:00:00","BZN|IT-North","Without Sequence","48.95","",""
"02/01/2016 16:00:00 - 02/01/2016 17:00:00","BZN|IT-North","Without Sequence","52.99","",""
"02/01/2016 17:00:00 - 02/01/2016 18:00:00","BZN|IT-North","Without Sequence","60.99","",""
"02/01/2016 18:00:00 - 02/01/2016 19:00:00","BZN|IT-North","Without Sequence","59.95","",""
"02/01/2016 19:00:00 - 02/01/2016 20:00:00","BZN|IT-North","Without Sequence","55.00","",""
"02/01/2016 20:00:00 - 02/01/2016 21:00:00","BZN|IT-North","Without Sequence","50.24","",""
"02/01/2016 21:00:00 - 02/01/2016 22:00:00","BZN|IT-North","Without Sequence","43.21","",""
"02/01/2016 22:00:00 - 02/01/2016 23:00:00","BZN|IT-North","Without Sequence","40.23","",""
"02/01/2016 23:00:00 - 03/01/2016 00:00:00","BZN|IT-North","Without Sequence","38.65","",""
"03/01/2016 00:00:00 - 03/01/2016 01:00:00","BZN|IT-North","Without Sequence","36.48","",""
"03/01/2016 01:00:00 - 03/01/2016 02:00:00","BZN|IT-North","Without Sequence","29.03","",""
"03/01/2016 02:00:00 - 03/01/2016 03:00:00","BZN|IT-North","Without Sequence","26.50","",""
"03/01/2016 03:00:00 - 03/01/2016 04:00:00","BZN|IT-North","Without Sequence","22.32","",""
"03/01/2016 04:00:00 - 03/01/2016 05:00:00","BZN|IT-North","Without Sequence","17.00","",""
"03/01/2016 05:00:00 - 03/01/2016 06:00:00","BZN|IT-North","Without Sequence","19.99","",""
"03/01/2016 06:00:00 - 03/01/2016 07:00:00","BZN|IT-North","Without Sequence","24.56","",""
"03/01/2016 07:00:00 - 03/01/2016 08:00:00","BZN|IT-North","Without Sequence","30.90","",""
"03/01/2016 08:00:00 - 03/01/2016 09:00:00","BZN|IT-North","Without Sequence","33.46","",""
"03/01/2016 09:00:00 - 03/01/2016 10:00:00","BZN|IT-North","Without Sequence","36.01","",""
"03/01/2016 10:00:00 - 03/01/2016 11:00:00","BZN|IT-North","Without Sequence","36.77","",""
"03/01/2016 11:00:00 - 03/01/2016 12:00:00","BZN|IT-North","Without Sequence","36.07","",""
"03/01/2016 12:00:00 - 03/01/2016 13:00:00","BZN|IT-North","Without Sequence","35.89","",""
"03/01/2016 13:00:00 - 03/01/2016 14:00:00","BZN|IT-North","Without Sequence","29.03","",""
"03/01/2016 14:00:00 - 03/01/2016 15:00:00","BZN|IT-North","Without Sequence","30.10","",""
"03/01/2016 15:00:00 - 03/01/2016 16:00:00","BZN|IT-North","Without Sequence","37.48","",""
