"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"04/01/2021 06:00:00 - 04/01/2021 07:00:00","BZN|ES","Without Sequence","56.00","",""
"04/01/2021 07:00:00 - 04/01/2021 08:00:00","BZN|ES","Without Sequence","62.00","",""
"04/01/2021 08:00:00 - 04/01/2021 09:00:00","BZN|ES","Without Sequence","64.84","",""
"04/01/2021 09:00:00 - 04/01/2021 10:00:00","BZN|ES","Without Sequence","68.25","",""
"04/01/2021 10:00:00 - 04/01/2021 11:00:00","BZN|ES","Without Sequence","65.97","",""
"04/01/2021 11:00:00 - 04/01/2021 12:00:00","BZN|ES","Without Sequence","63.93","",""
"04/01/2021 12:00:00 - 04/01/2021 13:00:00","BZN|ES","Without Sequence","63.94","",""
"04/01/2021 13:00:00 - 04/01/2021 14:00:00","BZN|ES","Without Sequence","63.94","",""
"04/01/2021 14:00:00 - 04/01/2021 15:00:00","BZN|ES","Without Sequence","61.97","",""
"04/01/2021 15:00:00 - 04/01/2021 16:00:00","BZN|ES","Without Sequence","62.45","",""
"04/01/2021 16:00:00 - 04/01/2021 17:00:00","BZN|ES","Without Sequence","63.90","",""
"04/01/2021 17:00:00 - 04/01/2021 18:00:00","BZN|ES","Without Sequence","67.02","",""
"04/01/2021 18:00:00 - 04/01/2021 19:00:00","BZN|ES","Without Sequence","71.05","",""
"04/01/2021 19:00:00 - 04/01/2021 20:00:00","BZN|ES","Without Sequence","72.60","",""
"04/01/2021 20:00:00 - 04/01/2021 21:00:00","BZN|ES","Without Sequence","70.00","",""
"04/01/2021 21:00:00 - 04/01/2021 22:00:00","BZN|ES","Without Sequence","66.00","",""
"04/01/2021 22:00:00 - 04/01/2021 23:00:00","BZN|ES","Without Sequence","62.48","",""
"04/01/2021 23:00:00 - 05/01/2021 00:00:00","BZN|ES","Without Sequence","61.25","",""
"05/01/2021 00:00:00 - 05/01/2021 01:00:00","BZN|ES","Without Sequence","64.68","",""
"05/01/2021 01:00:00 - 05/01/2021 02:00:00","BZN|ES","Without Sequence","56.25","",""
"05/01/2021 02:00:00 - 05/01/2021 03:00:00","BZN|ES","Without Sequence","51.86","",""
"05/01/2021 03:00:00 - 05/01/2021 04:00:00","BZN|ES","Without Sequence","50.91","",""
"05/01/2021 04:00:00 - 05/01/2021 05:00:00","BZN|ES","Without Sequence","50.56","",""
"05/01/2021 05:00:00 - 05/01/2021 06:00:00","BZN|ES","Without Sequence","51.25","",""
"05/01/2021 06:00:00 - 05/01/2021 07:00:00","BZN|ES","Without Sequence","58.45","",""
"05/01/2021 07:00:00 - 05/01/2021 08:00:00","BZN|ES","Without Sequence","68.30","",""
"05/01/2021 08:00:00 - 05/01/2021 09:00:00","BZN|ES","Without Sequence","70.41","",""
