"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"05/01/2021 10:00:00 - 05/01/2021 11:00:00","BZN|IT-North","Without Sequence","67.74","",""
"05/01/2021 11:00:00 - 05/01/2021 12:00:00","BZN|IT-North","Without Sequence","67.40","",""
"05/01/2021 12:00:00 - 05/01/2021 13:00:00","BZN|IT-North","Without Sequence","66.77","",""
"05/01/2021 13:00:00 - 05/01/2021 14:00:00","BZN|IT-North","Without Sequence","65.89","",""
"05/01/2021 14:00:00 - 05/01/2021 15:00:00","BZN|IT-North","Without Sequence","65.32","",""
"05/01/2021 15:00:00 - 05/01/2021 16:00:00","BZN|IT-North","Without Sequence","65.00","",""
"05/01/2021 16:00:00 - 05/01/2021 17:00:00","BZN|IT-North","Without Sequence","64.64","",""
"05/01/2021 17:00:00 - 05/01/2021 18:00:00","BZN|IT-North","Without Sequence","68.32","",""
"05/01/2021 18:00:00 - 05/01/2021 19:00:00","BZN|IT-North","Without Sequence","66.77","",""
"05/01/2021 19:00:00 - 05/01/2021 20:00:00","BZN|IT-North","Without Sequence","64.33","",""
"05/01/2021 20:00:00 - 05/01/2021 21:00:00","BZN|IT-North","Without Sequence","64.00","",""
"05/01/2021 21:00:00 - 05/01/2021 22:00:00","BZN|IT-North","Without Sequence","58.16","",""
"05/01/2021 22:00:00 - 05/01/2021 23:00:00","BZN|IT-North","Without Sequence","56.16","",""
"05/01/2021 23:00:00 - 06/01/2021 00:00:00","BZN|IT-North","Without Sequence","55.51","",""
"06/01/2021 00:00:00 - 06/01/2021 01:00:00","BZN|IT-North","Without Sequence","53.73","",""
"06/01/2021 01:00:00 - 06/01/2021 02:00:00","BZN|IT-North","Without Sequence","52.60","",""
"06/01/2021 02:00:00 - 06/01/2021 03:00:00","BZN|IT-North","Without Sequence","50.60","",""
"06/01/2021 03:00:00 - 06/01/2021 04:00:00","BZN|IT-North","Without Sequence","49.00","",""
"06/01/2021 04:00:00 - 06/01/2021 05:00:00","BZN|IT-North","Without Sequence","47.20","",""
"06/01/2021 05:00:00 - 06/01/2021 06:00:00","BZN|IT-North","Without Sequence","49.29","",""
"06/01/2021 06:00:00 - 06/01/2021 07:00:00","BZN|IT-North","Without Sequence","55.00","",""
"06/01/2021 07:00:00 - 06/01/2021 08:00:00","BZN|IT-North","Without Sequence","56.60","",""
"06/01/2021 08:00:00 - 06/01/2021 09:00:00","BZN|IT-North","Without Sequence","59.80","",""
"06/01/2021 09:00:00 - 06/01/2021 10:00:00","BZN|IT-North","Without Sequence","61.10","",""
"06/01/2021 10:00:00 - 06/01/2021 11:00:00","BZN|IT-North","Without Sequence","60.62","",""
"06/01/2021 11:00:00 - 06/01/2021 12:00:00","BZN|IT-North","Without Sequence","60.62","",""
"06/01/2021 12:00:00 - 06/01/2021 13:00:00","BZN|IT-North","Without Sequence","58.00","",""
"06/01/2021 13:00:00 - 06/01/2021 14:00:00","BZN|IT-North","Without Sequence","56.23","",""
"06/01/2021 14:00:00 - 06/01/2021 15:00:00","BZN|IT-North","Without Sequence","58.62","",""
"06/01/2021 15:00:00 - 06/01/2021 16:00:00","BZN|IT-North","Without Sequence","61.05","",""
"06/01/2021 16:00:00 - 06/01/2021 17:00:00","BZN|IT-North","Without Sequence","64.68","",""
"06/01/2021 17:00:00 - 06/01/2021 18:00:00","BZN|IT-North","Without Sequence","66.94","",""
"06/01/2021 18:00:00 - 06/01/2021 19:00:00","BZN|IT-North","Without Sequence","68.45","",""
"06/01/2021 19:00:00 - 06/01/2021 20:00:00","BZN|IT-North","Without Sequence","67.05","",""
"06/01/2021 20:00:00 - 06/01/2021 21:00:00","BZN|IT-North","Without Sequence","64.28","",""
"06/01/2021 21:00:00 - 06/01/2021 22:00:00","BZN|IT-North","Without Sequence","60.70","",""
"06/01/2021 22:00:00 - 06/01/2021 23:00:00","BZN|IT-North","Without Sequence","56.60","",""
"06/01/2021 23:00:00 - 07/01/2021 00:00:00","BZN|IT-North","Without Sequence","55.00","",""
