"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"01/01/2023 00:00:00 - 01/01/2023 01:00:00","BZN|IT-North","Without Sequence","195.90","",""
"01/01/2023 01:00:00 - 01/01/2023 02:00:00","BZN|IT-North","Without Sequence","191.09","",""
"01/01/2023 02:00:00 - 01/01/2023 03:00:00","BZN|IT-North","Without Sequence","187.95","",""
"01/01/2023 03:00:00 - 01/01/2023 04:00:00","BZN|IT-North","Without Sequence","187.82","",""
"01/01/2023 04:00:00 - 01/01/2023 05:00:00","BZN|IT-North","Without Sequence","187.74","",""
"01/01/2023 05:00:00 - 01/01/2023 06:00:00","BZN|IT-North","Without Sequence","187.74","",""
"01/01/2023 06:00:00 - 01/01/2023 07:00:00","BZN|IT-North","Without Sequence","187.22","",""
"01/01/2023 07:00:00 - 01/01/2023 08:00:00","BZN|IT-North","Without Sequence","187.82","",""
"01/01/2023 08:00:00 - 01/01/2023 09:00:00","BZN|IT-North","Without Sequence","186.47","",""
"01/01/2023 09:00:00 - 01/01/2023 10:00:00","BZN|IT-North","Without Sequence","186.47","",""
"01/01/2023 10:00:00 - 01/01/2023 11:00:00","BZN|IT-North","Without Sequence","177.25","",""
"01/01/2023 11:00:00 - 01/01/2023 12:00:00","BZN|IT-North","Without Sequence","168.50","",""
"01/01/2023 12:00:00 - 01/01/2023 13:00:00","BZN|IT-North","Without Sequence","173.00","",""
"01/01/2023 13:00:00 - 01/01/2023 14:00:00","BZN|IT-North","Without Sequence","165.89","",""
"01/01/2023 14:00:00 - 01/01/2023 15:00:00","BZN|IT-North","Without Sequence","179.73","",""
"01/01/2023 15:00:00 - 01/01/2023 16:00:00","BZN|IT-North","Without Sequence","188.06","",""
"01/01/2023 16:00:00 - 01/01/2023 17:00:00","BZN|IT-North","Without Sequence","193.67","",""
"01/01/2023 17:00:00 - 01/01/2023 18:00:00","BZN|IT-North","Without Sequence","213.36","",""
"01/01/2023 18:00:00 - 01/01/2023 19:00:00","BZN|IT-North","Without Sequence","229.99","",""
"01/01/2023 19:00:00 - 01/01/2023 20:00:00","BZN|IT-North","Without Sequence","243.42","",""
"01/01/2023 20:00:00 - 01/01/2023 21:00:00","BZN|IT-North","Without Sequence","235.00","",""
"01/01/2023 21:00:00 - 01/01/2023 22:00:00","BZN|IT-North","Without Sequence","203.25","",""
"01/01/2023 22:00:00 - 01/01/2023 23:00:00","BZN|IT-North","Without Sequence","190.85","",""
"01/01/2023 23:00:00 - 02/01/2023 00:00:00","BZN|IT-North","Without Sequence","187.28","",""
"02/01/2023 00:00:00 - 02/01/2023 01:00:00","BZN|IT-North","Without Sequence","187.27","",""
"02/01/2023 01:00:00 - 02/01/2023 02:00:00","BZN|IT-North","Without Sequence","187.20","",""
"02/01/2023 02:00:00 - 02/01/2023 03:00:00","BZN|IT-North","Without Sequence","180.00","",""
"02/01/2023 03:00:00 - 02/01/2023 04:00:00","BZN|IT-North","Without Sequence","180.00","",""
"02/01/2023 04:00:00 - 02/01/2023 05:00:00","BZN|IT-North","Without Sequence","185.89","",""
"02/01/2023 05:00:00 - 02/01/2023 06:00:00","BZN|IT-North","Without Sequence","185.89","",""
"02/01/2023 06:00:00 - 02/01/2023 07:00:00","BZN|IT-North","Without Sequence","198.85","",""
"02/01/2023 07:00:00 - 02/01/2023 08:00:00","BZN|IT-North","Without Sequence","202.72","",""
"02/01/2023 08:00:00 - 02/01/2023 09:00:00","BZN|IT-North","Without Sequence","213.36","",""
"02/01/2023 09:00:00 - 02/01/2023 10:00:00","BZN|IT-North","Without Sequence","203.99","",""
"02/01/2023 10:00:00 - 02/01/2023 11:00:00","BZN|IT-North","Without Sequence","196.23","",""
"02/01/2023 11:00:00 - 02/01/2023 12:00:00","BZN|IT-North","Without Sequence","194.63","",""
