"Time Interval","Day","Out Area","In Area","Capacity (MW)"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|IT-North","BZN|FR","1160.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|GB(IFA)","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|BE","BZN|FR","700.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|CH","BZN|FR","1700.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|ES","BZN|FR","2300.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|IT-North","1061.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|GB(IFA)","2000.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|BE","1800.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|CH","3700.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|ES","2600.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|FR","BZN|GB(IFA2)","N/A"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Monday 28/12/2020","BZN|GB(IFA2)","BZN|FR","N/A"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|GB(IFA)","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|BE","BZN|FR","700.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|CH","BZN|FR","1200.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|ES","BZN|FR","2300.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|IT-North","1830.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|GB(IFA)","2000.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|BE","1800.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|CH","2385.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|ES","2600.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|FR","BZN|GB(IFA2)","N/A"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Tuesday 29/12/2020","BZN|GB(IFA2)","BZN|FR","N/A"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|IT-North","BZN|FR","1160.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|GB(IFA)","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|BE","BZN|FR","700.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|CH","BZN|FR","1200.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|ES","BZN|FR","2300.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|IT-North","1061.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|DE-LU","1500.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|GB(IFA)","2000.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|BE","1800.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|CH","2385.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|ES","2600.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|FR","BZN|GB(IFA2)","N/A"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Wednesday 30/12/2020","BZN|GB(IFA2)","BZN|FR","N/A"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|IT-North","BZN|FR","995.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|GB(IFA)","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|BE","BZN|FR","700.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|CH","BZN|FR","1800.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|ES","BZN|FR","2300.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|IT-North","1179.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|GB(IFA)","2000.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|BE","1800.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|CH","3700.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|ES","2600.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|GB","2000.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|FR","BZN|GB(IFA2)","0.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|GB","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Thursday 31/12/2020","BZN|GB(IFA2)","BZN|FR","0.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|IT-North","BZN|FR","995.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|DE-LU","BZN|FR","1200.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|GB(IFA)","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|BE","BZN|FR","700.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|CH","BZN|FR","1800.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|ES","BZN|FR","2300.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|IT-North","1778.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|GB(IFA)","2000.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|BE","1800.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|CH","3700.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|ES","2600.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|GB","2000.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|FR","BZN|GB(IFA2)","0.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|GB","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Friday 01/01/2021","BZN|GB(IFA2)","BZN|FR","0.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|IT-North","BZN|FR","1160.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|DE-LU","BZN|FR","1500.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|GB(IFA)","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|BE","BZN|FR","700.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|CH","BZN|FR","1800.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|ES","BZN|FR","2300.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|IT-North","1061.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|GB(IFA)","2000.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|BE","1800.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|CH","3700.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|ES","2600.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|GB","2000.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|FR","BZN|GB(IFA2)","0.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|GB","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Saturday 02/01/2021","BZN|GB(IFA2)","BZN|FR","0.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|DE-AT-LU","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|IT-North","BZN|FR","995.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|IT-North-FR","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|DE-LU","BZN|FR","2500.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|GB(IFA)","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|BE","BZN|FR","700.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|CH","BZN|FR","1800.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|ES","BZN|FR","2300.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|DE-AT-LU","n/e"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|IT-North","1179.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|IT-North-FR","n/e"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|DE-LU","1800.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|GB(IFA)","2000.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|BE","1800.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|CH","3700.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|ES","2600.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|GB","2000.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|GB(ElecLink)","n/e"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|FR","BZN|GB(IFA2)","0.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|GB","BZN|FR","2000.0"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|GB(ElecLink)","BZN|FR","n/e"
"01/01/2021 - 01/01/2022","Sunday 03/01/2021","BZN|GB(IFA2)","BZN|FR","0.0"
